Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2008/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2008 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,6.5-8.5,,,< 2250 µmhos/cm,,,,< 3 mg/l,,,,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1491,"BHAGIRATHI AT GANGOTRI,",2.5,12.0,7.3,9.0,10.1,9.6,7.1,7.8,7.4,130,130,,130,2.0,2.0,2.0,0.13,0.13,0.13,,,,26,26,26,3900,3900,3900
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,8.0,18.0,14.1,7.6,10.4,9.4,6.9,8.3,7.5,125,166,,148,0.9,2.3,1.4,0.19,0.25,0.23,,,,110,65000,17083,0,10100000,2182120
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,8.0,18.0,13.6,7.7,10.1,9.2,6.9,7.5,7.2,80,172,,109,1.0,2.5,1.3,0.20,0.35,0.30,,,,50,48000,12638,0,5100000,1032820
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,8.0,17.0,14.1,7.6,10.8,9.3,6.9,7.8,7.3,93,164,,137,0.9,2.3,1.3,0.20,0.24,0.22,,,,150,48000,13738,0,650000,262840
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,8.0,19.0,14.6,6.9,10.3,9.2,7.1,8.6,7.5,140,164,,155,0.9,5.4,1.8,0.22,0.29,0.26,,,,750,79000,20598,0,560000,217440
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,9.0,19.0,14.8,7.5,9.8,8.9,7.1,8.6,7.5,100,165,,130,0.9,6.0,2.0,0.18,0.19,0.19,0.04,0.04,0.04,170,2800,1143,0,470000,130560
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,11.0,18.0,13.9,7.7,10.3,9.3,7.1,8.4,7.5,130,160,,141,0.9,5.2,1.7,0.22,0.24,0.23,,,,90,68000,18510,0,720000,170960
1060,"GANGA AT RISHIKESH U/S, UT",10.0,20.0,16.9,6.1,9.6,8.7,7.1,8.4,7.4,170,170,,170,1.2,3.2,2.0,,,,,,,1,1,1,0,23,9
