Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                            www.cpcbenvis.nic.in/waterpollution/2012/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2012 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,16,31,25,6.4,11.6,8.7,7.4,8.8,8.2,23,499,105,2.6,5.7,4.1,0,2.32,0.76,700,28000,4845,2000,200000,17246
1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,16,31,25,2.8,12.2,8.7,7.5,9.1,8.4,23,528,106,2.8,5.9,4.3,0,2.48,0.82,700,39000,6245,2800,200000,26691
1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,16,31,25,4.6,10.8,6.6,7.2,8.9,8.3,29,574,127,4.6,19.2,8.3,0,3.68,1.51,3900,93000,23927,64000,200000,100000
1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,16,25,20,6.8,8.8,7.7,7.7,8.1,7.9,159,361,240,3.1,3.8,3.5,0.78,0.9,0.84,4300,4900,4642,7000,8500,7883
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,16,25,20,6.9,8.4,7.8,7.7,8.1,7.9,156,358,237,3.1,3.7,3.4,0.76,0.88,0.81,3900,4700,4400,6900,8200,7658
1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,20,30,24,4.4,9.3,7.4,7.7,8.5,8.2,310,699,459,2.6,8,5.6,0.71,2.2,1.16,2200,3500,3058,6000,9000,7583
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,20,30,24,6.7,9.6,7.8,7.7,8.4,8.2,302,684,441,2.5,6.9,4.8,0.69,2.1,1.09,2100,2800,2600,3500,8000,4958
1049,GANGA AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,20,30,25,4.7,8.7,7.1,7.7,8.4,8.2,300,798,511,2.7,7.3,5.1,0.78,2.66,1.26,3000,4000,3450,6000,12000,9500
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,16,32,26,5.3,11.5,8.5,7.4,8.6,7.9,275,649,456,2.2,3.8,2.8,0.58,4.1,2.94,490,1100,813,2200,3500,2575
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,16,32,27,5.2,10.8,7.8,7.3,8.5,7.8,276,654,460,3,4.3,3.3,1.52,5.7,4.09,1300,3100,2133,2800,5400,4058
1070,GANGA AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,19,29,25,7.3,8.6,7.9,7.7,8.5,8.2,230,278,251,2.8,3.5,3.2,,,,5000,8000,6783,8000,94000,16467
http://www.cpcbenvis.nic.in/waterpollution/2012/RIVER%20GANGA.htm                                                                                                                                                                                                                                                                                                                                                                                                         1/1,,,,,,,,,,,,,,,,,,,,,,,,,,
