Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2010/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2010 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,6.5-8.5,,,< 2250 µmhos/cm,,,,< 3 mg/l,,,,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
2487,"GANGA AT KADAGHAT, ALLAHABAD",15.5,29.0,24.6,6.6,10.5,7.8,8.0,8.4,8.3,224,,624,445,3.0,5.2,3.9,1.50,2.30,1.87,,,,2100,3400,2758,4000,7000,5083
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",16.0,29.5,25.0,6.4,9.1,7.3,7.9,8.5,8.3,284,,744,536,3.3,5.8,4.6,1.50,3.10,1.90,,,,3300,5000,4017,7000,17000,10000
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",28.0,30.0,29.0,,,,7.9,8.4,8.1,414,,436,425,2.3,3.0,2.7,1.40,1.60,1.50,,,,,,,,,
2486,"GANGA D/S, MIRZAPUR",27.0,30.0,28.5,,,,7.9,8.2,8.0,433,,436,434,2.6,3.6,3.1,3.10,4.90,4.00,,,,,,,,,
1070,GANGA AT VARANASI U/S (ASSIGHAT),18.0,29.0,24.4,7.4,8.7,8.0,7.3,7.7,7.5,256,,358,309,3.4,4.2,3.9,,,,,,,6300,11000,8730,9400,110000,21340
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",18.5,29.5,24.9,6.8,7.7,7.3,7.8,8.8,8.3,282,,385,337,4.2,10.8,8.9,,,,,,,33000,49000,44400,49000,79000,71000
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",19.5,29.0,25.2,7,8.5,7.6,7.7,8.2,7.9,278,,354,310,3.8,4.8,4.3,,,,,,,11000,17000,13800,14000,22000,18000
1074,"GANGA AT BUXAR,BIHAR",16.0,33.0,24.2,7.9,8.8,8.6,7.3,8.6,8.2,301,,390,350,2.7,2.9,2.8,0.40,1.60,0.90,,,,500,3000,1889,1400,9000,4600
2551,"GANGA AT BUXAR, RAMREKHAGHAT",17.0,32.0,23.5,7.8,8.7,8.5,7.2,8.4,8.1,314,,393,357,2.5,3.0,2.9,0.38,12.0,2.22,,,,3000,9000,7889,12000,24000,21778
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",18.0,30.0,24.7,8.1,9.2,8.4,7.2,8.6,7.8,236,,278,261,2.4,2.7,2.6,0.58,1.60,1.08,,,,500,1300,911,1400,3000,2389
