Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2011/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2011 |CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+ NITRITE-N
(mg/l)",,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,16.0,25.0,20.9,6.8,9.0,7.7,7.0,8.6,7.8,149,409,261,3.3,4.0,3.8,0.76,0.98,0.84,4100,6300,4980,6800,8800,7510
1046,AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,21.0,29.0,25.6,6.0,9.8,7.2,7.4,8.4,8.0,278,488,387,2.8,6.0,4.2,1.40,1.88,1.71,3000,3500,3358,7000,9000,7750
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,21.0,29.5,25.7,6.1,10.1,7.6,7.4,8.4,7.9,266,480,374,2.3,4.8,3.6,1.39,1.85,1.65,2100,3000,2492,3500,6000,4167
1049,AT ALLAHABAD D/S (SANGAM),UTTAR PRADESH,21.5,30.5,26.2,6.0,9.4,7.2,7.4,8.4,8.0,271,598,450,2.6,5.6,4.0,1.44,1.70,1.61,2800,5000,3408,6000,14000,8583
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,19.0,32.0,27.4,5.9,11.1,8.7,7.6,8.3,8.0,201,537,387,2.3,10.5,3.7,0.00,6.50,1.96,40,700,332,110,5400,1995
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,18.0,33.0,27.1,5.1,10.3,7.7,7.3,8.2,7.8,207,555,396,2.9,4.5,3.6,0.00,7.80,2.29,230,7000,2377,490,17000,5708
1070,AT VARANASI U/S (ASSIGHAT),UTTAR PRADESH,18.0,27.0,22.3,7.5,7.8,7.6,7.5,7.8,7.6,224,266,250,3.7,4.2,3.9,,,,8000,8000,8000,13000,13000,13000
1071,AT VARANASI D/S (MALVIYA BRIDGE),UTTAR PRADESH,18.5,27.5,22.8,7.0,7.2,7.1,7.9,8.1,8.0,240,290,272,5.2,9.6,8.0,,,,34000,46000,40000,46000,70000,58000
1073,GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,19.5,28.5,23.8,7.0,7.4,7.3,7.9,8.2,8.0,232,270,257,4.1,4.4,4.3,,,,13000,13000,13000,17000,21000,19667
1074,"GANGA AT BUXAR,BIHAR",BIHAR,16.0,31.0,24.4,7.8,9.0,8.4,7.6,8.5,8.2,287,402,345,2.7,2.8,2.8,,,,1100,9000,3122,2800,16000,6867
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,16.0,31.0,23.7,7.8,8.7,8.4,7.4,8.6,8.2,310,386,357,2.6,3.0,2.9,,,,5000,9000,7500,16000,24000,22000
1077,"GANGA AT KHURJI, PATNA U/S",BIHAR,17.0,32.0,25.1,8.0,8.9,8.4,7.9,8.6,8.2,262,416,327,2.6,2.8,2.7,,,,1300,5000,2767,2400,16000,7044
2556,"AT INDRAPURI, DEHRI ON SONE",BIHAR,19.0,29.0,23.2,7.9,8.8,8.3,7.3,8.3,7.8,228,288,259,2.6,2.8,2.7,,,,700,2400,1188,1400,3000,2338
2564,"AT CONFL. SONE DORIGANJ, CHAPRA",BIHAR,16.0,25.0,22.3,7.9,9.3,8.5,7.1,8.1,7.7,214,380,298,2.7,2.8,2.8,,,,1100,3000,1922,2200,5000,3933
2552,DARBHANGA GHAT AT PATNA,BIHAR,18.0,31.0,24.1,7.9,8.7,8.4,7.9,8.6,8.3,271,410,334,2.8,3.0,2.9,,,,9000,9000,9000,16000,24000,23111
1079,AT PATNA D/S (GANGA BRIDGE),BIHAR,18.0,32.0,24.4,7.9,8.7,8.4,8.0,8.6,8.2,292,495,350,2.7,3.0,2.9,,,,3000,9000,5667,9000,24000,18778
2555,"GANGA AT PUNPUN, PATNA",BIHAR,19.0,33.0,24.6,6.9,8.0,7.3,7.1,8.7,7.8,312,574,413,2.6,3.0,2.7,,,,1100,3000,1589,2200,9000,3667
2553,GANGA AT FATUHA,BIHAR,18.0,31.0,24.6,8.0,8.8,8.4,8.1,8.7,8.3,282,420,327,2.7,2.9,2.8,,,,1400,5000,2675,3000,16000,7313
1817,GANGA AT MOKAMA (U/S),BIHAR,20.0,30.0,25.0,7.1,8.7,8.0,7.8,8.2,8.0,339,389,375,2.6,2.8,2.7,,,,1100,5000,2575,2200,16000,6588
1815,GANGA AT MOKAMA (D/S),BIHAR,20.0,28.0,24.6,6.8,8.8,7.9,7.6,8.2,8.0,362,388,375,2.9,3.0,3.0,,,,2100,9000,7638,8000,24000,22000
1818,GANGA AT MUNGER,BIHAR,20.0,28.0,24.8,6.2,8.6,7.8,7.7,8.1,8.0,298,366,345,2.6,2.9,2.7,,,,800,5000,2178,2200,9000,4967
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,20.0,27.0,24.6,6.4,8.7,7.8,7.6,8.1,7.9,354,384,363,2.7,2.8,2.7,,,,1300,3000,1943,2200,5000,3371
1819,GANGA AT BHAGALPUR,BIHAR,20.0,27.0,24.9,6.2,8.6,7.7,7.7,8.1,7.9,355,395,368,2.6,2.9,2.8,,,,1300,9000,3686,2200,90000,22743
1816,GANGA AT KAHALGAON,BIHAR,19.0,30.0,25.0,6.4,8.7,7.9,7.7,8.2,8.0,286,372,344,2.7,2.9,2.8,,,,1100,9000,5611,2800,24000,11422
1080,GANGA AT BAHARAMPORE,WEST BENGAL,14.5,32.0,26.3,6.9,11.2,8.3,7.2,8.4,7.8,209,360,294,1.0,3.9,2.2,0.19,0.73,0.39,17000,240000,105364,26000,300000,140545
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,15.0,32.0,26.0,6.7,10.6,8.5,7.1,8.3,7.8,147,352,290,1.0,3.7,2.1,0.05,0.75,0.34,1300,50000,13573,1700,90000,21973
2506,"TRIBENI ON GANGA, NR BURNING GHAT",WEST BENGAL,20.0,32.0,27.8,4.8,13.4,8.2,7.0,8.5,7.9,185,354,289,0.8,2.9,1.7,0.00,0.52,0.26,700,11000,3064,900,14000,4755
1054,GANGA AT PALTA,WEST BENGAL,19.0,30.5,27.0,5.7,11.0,7.7,7.2,8.2,7.8,181,353,287,1.3,2.8,2.1,0.14,0.85,0.43,23000,220000,84667,50000,280000,128333
1472,GANGA AT SERAMPORE,WEST BENGAL,20.0,33.0,28.3,5.1,13.2,7.8,7.1,8.4,7.9,185,355,286,0.9,3.2,1.9,0.00,0.54,0.26,14000,170000,66667,22000,220000,97917
1053,GANGA AT DAKSHINESHWAR,WEST BENGAL,18.0,32.0,26.9,5.2,13.9,7.8,7.3,8.3,7.8,235,370,306,3.0,5.0,4.0,0.06,0.89,0.30,17000,1100000,270333,22000,2500000,653083
1471,GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,19.0,32.0,27.0,4.8,12.8,7.3,7.5,8.2,7.8,194,370,301,2.4,8.2,4.0,0.02,0.72,0.27,33000,650000,130750,34000,850000,223667
1470,GANGA AT GARDEN REACH,WEST BENGAL,16.0,33.0,26.6,4.4,12.2,6.8,7.5,8.3,7.8,235,371,316,1.9,5.6,4.1,0.04,1.00,0.29,8000,400000,164833,11000,650000,247167
1052,GANGA AT ULUBERIA,WEST BENGAL,18.0,37.0,27.1,4.3,11.0,5.9,7.5,8.4,7.8,234,545,326,0.3,5.9,2.8,0.10,1.26,0.38,14000,140000,32500,17000,280000,68833
1469,GANGA AT DIAMOND HARBOUR,WEST BENGAL,18.0,32.0,26.8,5.4,8.5,7.1,7.5,8.5,7.9,261,10240,3186,1.1,5.1,2.3,0.08,0.74,0.34,8000,80000,20333,11000,110000,30667
http://cpcbenvis.nic.in/waterpollution/2011/RIVER%20GANGA.htm                                                                                                                                                                                                                                                                                                                                                                                                                  1/1,,,,,,,,,,,,,,,,,,,,,,,,,,
