Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2013 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1491,"BHAGIRATHI AT GANGOTRI, UTTAR PRADESH",UTTARAKHAND,3.3,7,5.2,8.3,8.8,8.6,8.4,8.5,8.5,126,126,126,,,,0,0,0,220,220,220,220,220,220
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19,15.4,7.4,10.6,8.7,7.4,8.4,8.1,124,124,124,0.2,1,0.7,0,0,0,790,790,790,1700,1700,1700
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,11.3,19,16,7.6,10,8.6,7.5,8.7,8.1,183,183,183,0.8,2,1.4,0,0,0,78,78,78,230,230,230
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,14,20,17.1,7.4,11.2,9,7.8,8.6,8.2,170,170,170,0.4,1.8,1.2,0,0,0,40,40,40,140,140,140
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,13.2,20,16.8,7.6,10,8.6,7.9,8.5,8.3,151,151,151,1.2,2,1.6,0,0,0,45,45,45,330,330,330
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,10.6,21,16.8,7.4,9.2,8.6,7.3,8.2,7.9,,,,0.8,2.4,1.5,0,0,0,,,,14,110,32
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13,24,20,5.4,8,6.7,7.4,8.2,7.9,,,,2,13,5.5,0,0,0,,,,300,1600,1283
1061,"GANGA AT HARIDWAR D/S, U.P",UTTARAKHAND,19,19,19,5.6,7.8,6.5,7.5,8.3,7.8,,,,2.2,7.8,5.2,0,0,0,,,,500,1600,1245
