Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2014 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,19.3,25.9,24.5,7.6,9.3,8.4,8.1,8.5,8.3,346,428,382,3.4,4.7,3.9,1.4,2.1,1.8,13000,26000,18333,24000,40000,31833
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,19.6,25.9,24.4,8.0,9.2,8.5,8.1,8.4,8.3,368,468,404,2.9,9.2,4.2,1.28,2.24,2,13000,34000,19500,26000,48000,32417
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,16.0,27.0,22.4,8.0,8.8,8.4,7.2,8.2,7.7,254,366,290,2.1,3.6,2.5,0,0.7,0.4,1300,2100,1567,2200,4600,3078
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,16.0,29.0,23.8,8.2,8.7,8.4,7.2,8.0,7.6,272,378,299,2.3,3.8,2.6,0,0.7,0.5,1300,4600,2146,2400,32000,6518
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,20.0,25.0,22.5,7.3,9.2,8.3,8.0,8.4,8.2,282,392,338,2.4,3.3,2.9,0,0,0,2200,3300,2617,3100,4900,3950
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,20.0,25.5,22.5,6.7,8.7,7.8,8.2,8.7,8.5,308,456,385,3.8,5.0,4.5,0,0,0,22000,46000,31167,34000,63000,47333
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,19.0,25.0,22.7,6.8,8.6,7.7,8.2,8.7,8.5,300,440,369,3.3,4.4,3.9,0,0,0,11000,22000,17500,14000,46000,25667
2502,"SHUKRA TAL, MUZAFFARNAGAR, NEAR GANGA RIVER",UTTAR PRADESH,16.0,18.0,17.0,8.5,8.7,8.6,8.0,8.0,8.0,200,380,290,1.7,1.9,1.8,0,0,0,70,70,70,120,130,125
1074,"GANGA AT BUXAR,BIHAR",BIHAR,18.0,30.0,24.5,7.8,8.8,8.4,7.8,8.3,8.1,310,492,371,2.3,2.8,2.5,0,0,0,940,1500,1190,2400,4600,3100
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,18.0,31.0,24.9,7.6,8.7,8.1,7.6,8.3,8.1,298,535,376,2.6,2.8,2.7,0,0,0,500,5400,3183,1100,16000,9350
