Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2009/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2009 | ENVIS CPCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,6.5-8.5,,,< 2250 µmhos/cm,,,< 3 mg/l,,,,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1816,GANGA AT KAHALGAON,20.0,29.0,23.2,7.5,9.1,8.1,8.0,8.4,8.2,282,384,358,2.6,2.9,2.8,,,,,,,1400,5000,3164,3000,16000,8455
1080,GANGA AT BAHARAMPORE,19.0,31.0,27.4,5.6,9.0,7.0,7.9,8.4,8.3,196,357,289,1.0,2.0,1.4,0.17,0.54,0.33,,,,13000,80000,46600,23000,110000,73300
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",32.0,32.0,32.0,6.3,6.3,6.3,7.3,7.3,7.3,210,210,210,1.2,1.2,1.2,0.31,0.31,0.31,,,,70000,70000,70000,110000,110000,110000
1054,GANGA AT PALTA WEST BENGAL,21.0,31.0,28.2,5.1,8.7,6.8,7.7,8.5,8.2,157,374,285,1.1,1.6,1.4,0.10,0.76,0.37,,,,27000,170000,78700,70000,220000,125000
1472,GANGA AT SERAMPORE,21.0,33.0,29.3,6.2,9.0,7.4,7.6,8.2,7.8,184,381,288,1.0,1.8,1.4,0.10,0.60,0.42,,,,30000,110000,75000,50000,140000,110000
1053,GANGA AT DAKSHINESHWAR,21.0,37.0,29.0,4.6,8.3,6.5,7.6,8.4,8.0,198,386,312,2.2,6.7,4.5,0.10,0.67,0.27,,,,70000,400000,137500,110000,650000,352083
1471,GANGA AT HOWRAH-SHIVPUR,21.0,31.0,27.1,5.3,8.4,6.8,7.8,8.3,8.0,263,394,325,1.4,4.9,3.0,0.10,0.65,0.25,,,,55000,250000,121250,85000,550000,242500
1470,GANGA AT GARDEN REACH,21.0,31.0,26.7,5.5,8.9,7.0,8.0,8.3,8.1,212,393,281,2.2,3.0,2.6,0.10,0.23,0.14,,,,85000,250000,148333,250000,350000,316667
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",30.0,30.0,30.0,6.5,6.5,6.5,8.3,8.3,8.3,176,176,176,0.9,0.9,0.9,0.22,0.22,0.22,,,,7000,7000,7000,14000,14000,14000
1052,GANGA AT ULUBERIA,22.0,35.0,27.7,4.3,7.7,6.0,7.4,8.4,8.0,199,392,317,1.5,5.2,2.8,0.10,0.75,0.32,,,,4000,110000,26167,8000,280000,62167
1469,GANGA AT DIAMOND HARBOUR,27.0,33.0,30.0,6.1,7.9,7.1,7.9,8.1,8.0,248,4460,1553,2.0,2.6,2.3,0.13,0.30,0.22,,,,7000,110000,41000,11000,170000,78250
http://cpcbenvis.nic.in/waterpollution/2009/RIVER%20GANGA.htm                                                                                                                                                                                                                                                                                                                                                                                                                  1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
